Site ProfileID Date Chainage Elevation Flag
DUCK P-100 1998-01-27 208.22 -3.14 GPS
DUCK P-100 1998-01-27 208.82 -3.13 GPS
DUCK P-100 1998-01-27 209.32 -3.13 GPS
DUCK P-100 1998-01-27 209.91 -3.11 GPS
DUCK P-100 1998-01-27 210.51 -3.10 GPS
DUCK P-100 1998-01-27 211.22 -3.09 GPS
DUCK P-100 1998-01-27 211.72 -3.09 GPS
DUCK P-100 1998-01-27 212.32 -3.08 GPS
DUCK P-100 1998-01-27 212.82 -3.07 GPS
DUCK P-100 1998-01-27 213.41 -3.05 GPS
DUCK P-100 1998-01-27 213.92 -3.04 GPS
DUCK P-100 1998-01-27 214.52 -3.02 GPS
DUCK P-100 1998-01-27 215.12 -3.02 GPS
DUCK P-100 1998-01-27 215.82 -3.00 GPS
DUCK P-100 1998-01-27 216.42 -2.97 GPS
DUCK P-100 1998-01-27 217.02 -2.97 GPS
DUCK P-100 1998-01-27 217.52 -2.95 GPS
DUCK P-100 1998-01-27 218.12 -2.93 GPS
DUCK P-100 1998-01-27 218.82 -2.92 GPS
DUCK P-100 1998-01-27 219.42 -2.91 GPS
DUCK P-100 1998-01-27 219.92 -2.88 GPS
DUCK P-100 1998-01-27 220.52 -2.86 GPS
DUCK P-100 1998-01-27 221.12 -2.84 GPS
DUCK P-100 1998-01-27 221.62 -2.82 GPS
DUCK P-100 1998-01-27 222.32 -2.80 GPS
DUCK P-100 1998-01-27 223.12 -2.77 GPS
DUCK P-100 1998-01-27 223.52 -2.77 GPS
DUCK P-100 1998-01-27 224.12 -2.74 GPS
DUCK P-100 1998-01-27 224.82 -2.71 GPS
DUCK P-100 1998-01-27 225.42 -2.70 GPS
DUCK P-100 1998-01-27 225.92 -2.69 GPS
DUCK P-100 1998-01-27 226.52 -2.66 GPS
DUCK P-100 1998-01-27 227.22 -2.63 GPS
DUCK P-100 1998-01-27 227.72 -2.63 GPS
DUCK P-100 1998-01-27 228.32 -2.61 GPS
DUCK P-100 1998-01-27 228.82 -2.58 GPS
DUCK P-100 1998-01-27 229.42 -2.55 GPS
DUCK P-100 1998-01-27 230.22 -2.54 GPS
DUCK P-100 1998-01-27 230.62 -2.51 GPS
DUCK P-100 1998-01-27 231.42 -2.50 GPS
DUCK P-100 1998-01-27 232.02 -2.48 GPS
DUCK P-100 1998-01-27 232.52 -2.47 GPS
DUCK P-100 1998-01-27 234.32 -2.41 GPS
DUCK P-100 1998-01-27 234.92 -2.40 GPS
DUCK P-100 1998-01-27 235.52 -2.38 GPS
DUCK P-100 1998-01-27 236.32 -2.38 GPS
DUCK P-100 1998-01-27 236.82 -2.36 GPS
DUCK P-100 1998-01-27 237.52 -2.35 GPS
DUCK P-100 1998-01-27 238.22 -2.34 GPS
DUCK P-100 1998-01-27 238.72 -2.33 GPS
DUCK P-100 1998-01-27 239.32 -2.32 GPS
DUCK P-100 1998-01-27 239.92 -2.31 GPS
DUCK P-100 1998-01-27 240.42 -2.31 GPS
DUCK P-100 1998-01-27 241.02 -2.30 GPS
DUCK P-100 1998-01-27 241.92 -2.30 GPS
DUCK P-100 1998-01-27 242.52 -2.30 GPS
DUCK P-100 1998-01-27 243.12 -2.29 GPS
DUCK P-100 1998-01-27 243.72 -2.29 GPS
DUCK P-100 1998-01-27 244.42 -2.29 GPS
DUCK P-100 1998-01-27 245.02 -2.30 GPS
DUCK P-100 1998-01-27 245.62 -2.31 GPS
DUCK P-100 1998-01-27 246.12 -2.32 GPS
DUCK P-100 1998-01-27 246.72 -2.32 GPS
DUCK P-100 1998-01-27 247.42 -2.32 GPS
DUCK P-100 1998-01-27 248.02 -2.32 GPS
DUCK P-100 1998-01-27 248.62 -2.33 GPS
DUCK P-100 1998-01-27 249.22 -2.32 GPS
DUCK P-100 1998-01-27 249.92 -2.35 GPS
DUCK P-100 1998-01-27 250.52 -2.35 GPS
DUCK P-100 1998-01-27 251.12 -2.37 GPS
DUCK P-100 1998-01-27 251.62 -2.36 GPS
